source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,n_sources,n_primary_sources,n_references,references_stripped
P15408,P15407,FOSL2,FOSL1,True,True,False,True,True,False,4,CollecTRI:13679379;DoRothEA:13679379;SIGNOR:13679379;TRRUST:13679379,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;FANTOM4_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,12,4,1,13679379
P15408,P21815,FOSL2,IBSP,True,True,False,True,True,False,5,CollecTRI:18088579;CollecTRI:22492284;CollecTRI:23485603;DoRothEA:23485603;TRRUST:23485603,CollecTRI;DoRothEA;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,3,18088579;22492284;23485603
P15408,P05113,FOSL2,IL5,True,True,False,True,True,False,3,CollecTRI:10491186;DoRothEA:10491186;TRRUST:10491186,CollecTRI;CytReg_CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,10491186
P15408,Q00987,FOSL2,MDM2,True,True,False,True,True,False,3,CollecTRI:22493372;DoRothEA:22493372;TRRUST:22493372,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,22493372
P15408,P10242,FOSL2,MYB,True,True,False,True,True,False,3,CollecTRI:22493372;DoRothEA:22493372;TRRUST:22493372,CollecTRI;DoRothEA;ENCODE-distal;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,4,1,22493372
P15408,P35228,FOSL2,NOS2,True,True,False,True,True,False,3,CollecTRI:12788789;DoRothEA:12788789;TRRUST:12788789,CollecTRI;DoRothEA;HOCOMOCO_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,12788789
P15408,P01137,FOSL2,TGFB1,True,True,False,True,True,False,5,CollecTRI:10843986;CollecTRI:16327802;CollecTRI:20427335;DoRothEA:10843986;TRRUST:10843986,CollecTRI;CytReg_CollecTRI;DoRothEA;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,3,10843986;16327802;20427335
P15408,P01033,FOSL2,TIMP1,True,False,True,True,False,True,3,CollecTRI:11337499;DoRothEA:11337499;TRRUST:11337499,CollecTRI;DoRothEA;NTNU.Curated_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,11337499
P55317,O95477,FOXA1,ABCA1,True,False,True,True,False,True,3,CollecTRI:24807696;DoRothEA:24807696;TRRUST:24807696,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,24807696
P55317,P13569,FOXA1,CFTR,True,False,True,True,False,True,3,CollecTRI:24440874;DoRothEA:24440874;TRRUST:24440874,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,8,3,1,24440874
P55317,P03372,FOXA1,ESR1,True,True,False,True,True,False,6,CollecTRI:20501593;CollecTRI:21572391;CollecTRI:24290378;PAZAR:21572391;TRRUST:20501593;TRRUST:24290378,CollecTRI;DoRothEA;DoRothEA-A_CollecTRI;GEREDB_CollecTRI;PAZAR;PAZAR_DoRothEA;ReMap_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,10,4,3,20501593;21572391;24290378
P55317,P08729,FOXA1,KRT7,True,True,False,True,True,False,3,CollecTRI:20043065;DoRothEA:20043065;TRRUST:20043065,CollecTRI;DoRothEA;PAZAR_DoRothEA;SIGNOR_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,1,20043065
P01106,P55317,MYC,FOXA1,True,False,False,False,False,False,0,,ENCODE-proximal,1,1,,
P55317,P01106,FOXA1,MYC,True,True,False,True,True,False,2,CollecTRI:24512546;TRRUST:24512546,CollecTRI;DoRothEA;IntAct_DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,1,24512546
P55317,P21359,FOXA1,NF1,True,True,False,True,True,False,3,CollecTRI:8495744;DoRothEA:8495744;TRRUST:8495744,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,8495744
P55317,P43699,FOXA1,NKX2-1,True,True,False,True,True,False,3,CollecTRI:23358112;DoRothEA:23358112;TRRUST:23358112,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,23358112
P55317,P07949,FOXA1,RET,True,True,False,True,True,False,3,CollecTRI:21947652;DoRothEA:21947652;TRRUST:21947652,CollecTRI;DoRothEA;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,21947652
P55317,P01008,FOXA1,SERPINC1,True,False,True,True,False,True,3,CollecTRI:8910619;DoRothEA:8910619;TRRUST:8910619,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,8910619
Q9Y261,O95994,FOXA2,AGR2,True,True,False,True,True,False,4,CollecTRI:16222343;CollecTRI:20048076;DoRothEA:16222343;TRRUST:16222343,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;GEREDB_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,7,3,2,16222343;20048076
Q9Y261,P13569,FOXA2,CFTR,True,False,True,True,False,True,3,CollecTRI:24440874;DoRothEA:24440874;TRRUST:24440874,ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,24440874
Q9Y261,P39060,FOXA2,COL18A1,True,True,False,True,True,False,3,CollecTRI:11093745;DoRothEA:11093745;TRRUST:11093745,CollecTRI;DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,5,3,1,11093745
Q9Y261,P55789,FOXA2,GFER,True,True,False,True,True,False,3,CollecTRI:20382118;DoRothEA:20382118;TRRUST:20382118,CollecTRI;DoRothEA;Pavlidis2021_CollecTRI;TRRUST;TRRUST_CollecTRI;TRRUST_DoRothEA,6,3,1,20382118
