rank,term,p_value,z_score,combined_score,overlap_genes,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adj_p,overlap_count
72,Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236),0.0006299020654549659,63.90064102564103,470.9442866528224,"['XBP1', 'HSPA1A']",0.008525249872185019,0,0,2.069292883124813,2
73,Negative Regulation Of Protein Processing (GO:0010955),0.0006299020654549659,63.90064102564103,470.9442866528224,"['SERPINE1', 'CHAC1']",0.008525249872185019,0,0,2.069292883124813,2
74,Response To Lipopolysaccharide (GO:0032496),0.0006663900762106824,11.105189340813464,81.21930542984357,"['XBP1', 'SERPINE1', 'TLR4', 'CXCL2']",0.008897208044542625,0,0,2.0507462541501256,4
75,Regulation Of Ubiquitin Protein Ligase Activity (GO:1904666),0.0008132713373134499,55.375,393.96243373102385,"['CDC20', 'PLK1']",0.010713494416875847,0,0,1.9700688523762468,2
76,Regulation Of Cell Cycle G1/S Phase Transition (GO:1902806),0.000841115699760175,17.87144141444411,126.54376876875219,"['CDKN1A', 'ID2', 'KIF14']",0.010934504096882274,0,0,1.961200908362166,3
77,Regulation Of Cell Cycle (GO:0051726),0.000869312020087346,7.454304133485021,52.53650759120063,"['CDC20', 'CDKN1A', 'MYC', 'PLK1', 'JADE2']",0.011078605172515486,0,0,1.9555149150599305,5
78,Regulation Of DNA Replication (GO:0006275),0.0008746267241459595,17.622340425531913,124.09147007242574,"['CCNA2', 'PCNA', 'JADE2']",0.011078605172515486,0,0,1.9555149150599305,3
79,Regulation Of Cell Cycle G2/M Phase Transition (GO:1902749),0.0009134705062420161,51.911458333333336,363.2898548418271,"['CDKN1A', 'KIF14']",0.011424162786925466,0,0,1.9421756171085383,2
80,Cellular Response To Nutrient Levels (GO:0031669),0.0009802139911592198,16.914893617021278,117.18197921679685,"['HSPA8', 'RRAGA', 'XBP1']",0.01198901487159436,0,0,1.9212165010886018,3
81,Cellular Response To Cytokine Stimulus (GO:0071345),0.0010074203659695721,7.204620462046204,49.71449148326954,"['NFKBIA', 'EGR1', 'CD40', 'XBP1', 'TLR4']",0.01198901487159436,0,0,1.9212165010886018,5
82,Regulation Of Transcription Involved In G1/S Transition Of Mitotic Cell Cycle (GO:0000083),0.0010193089566942573,48.85539215686274,336.54673838088314,"['ID2', 'E2F2']",0.01198901487159436,0,0,1.9212165010886018,2
83,Regulation Of B Cell Differentiation (GO:0045577),0.0010193089566942573,48.85539215686274,336.54673838088314,"['XBP1', 'ID2']",0.01198901487159436,0,0,1.9212165010886018,2
84,Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity (GO:0045736),0.0010193089566942573,48.85539215686274,336.54673838088314,"['CDKN1A', 'PLK1']",0.01198901487159436,0,0,1.9212165010886018,2
85,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),0.0010548985204026512,16.473887814313347,112.91714561298859,"['CDKN1A', 'RGS2', 'PLK1']",0.012261643978327286,0,0,1.911451297937424,3
